1,1,10,22
2,1,20,23
3,1,10,24
4,1,20,25
5,1,10,26
6,1,20,24
7,1,10,23
8,1,20,22
1,2,20,21
2,2,10,21
3,2,20,21
4,2,10,21
5,2,20,21
6,2,10,21
7,2,20,21
8,2,10,21
1,3,10,0
2,3,20,0
3,3,10,0
4,3,20,0
5,3,10,0
6,3,20,0
7,3,10,0
8,3,20,0
1,4,20,0
2,4,10,0
3,4,20,0
4,4,10,0
5,4,20,0
6,4,10,0
7,4,20,0
8,4,10,0
1,5,10,0
2,5,20,0
3,5,10,0
4,5,20,0
5,5,10,0
6,5,20,0
7,5,10,0
8,5,20,0
1,6,20,0
2,6,10,0
3,6,20,0
4,6,10,0
5,6,20,0
6,6,10,0
7,6,20,0
8,6,10,0
1,7,10,11
2,7,20,11
3,7,10,11
4,7,20,11
5,7,10,11
6,7,20,11
7,7,10,11
8,7,20,11
1,8,20,12
2,8,10,13
3,8,20,14
4,8,10,15
5,8,20,16
6,8,10,14
7,8,20,13
8,8,10,12
